%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
         150.        9.1000       4.41373       188.883       18.3581        7.8382        7.1896       10.2585      0.000000      0.000000     0.0159432      0.011328     0.0000000 
         153.        9.3000       4.42179       189.009       18.5611        7.8157        7.1606       10.2585      0.000000      0.000000     0.0138125      0.009379     0.0000000 
         157.        9.5000       4.42834       189.133       18.7578        7.7948        7.1338       10.2585      0.000000      0.000000     0.0118743      0.007707     0.0000000 
         160.        9.7000       4.43355       189.254       18.9485        7.7753        7.1089       10.2585      0.000000      0.000000     0.0101260      0.006281     0.0000000 
         163.        9.9000       4.43736       189.371       19.1329        7.7574        7.0865       10.2585      0.000000      0.000000     0.0085974      0.005113     0.0000000 
         167.       10.1000       4.44016       189.486       19.3116        7.7407        7.0659       10.2585      0.000000      0.000000     0.0072424      0.004130     0.0000000 
         170.       10.3000       4.44209       189.598       19.4851        7.7253        7.0470       10.2585      0.000000      0.000000     0.0060511      0.003308     0.0000000 
         173.       10.5000       4.44316       189.707       19.6530        7.7111        7.0301       10.2585      0.000000      0.000000     0.0050403      0.002649     0.0000000 
         177.       10.7000       4.44365       189.814       19.8160        7.6979        7.0147       10.2585      0.000000      0.000000     0.0041653      0.002105     0.0000000 
         180.       10.9000       4.44365       189.918       19.9745        7.6857        7.0007       10.2585      0.000000      0.000000     0.0034139      0.001658     0.0000000 
         183.       11.1000       4.44320       190.020       20.1284        7.6744        6.9881       10.2585      0.000000      0.000000     0.0027933      0.001307     0.0000000 
         187.       11.3000       4.44247       190.120       20.2782        7.6638        6.9767       10.2585      0.000000      0.000000     0.0022678      0.001023     0.0000000 
         190.       11.5000       4.44153       190.217       20.4244        7.6539        6.9662       10.2585      0.000000      0.000000     0.0018258      0.000793     0.0000000 
         193.       11.7000       4.44042       190.313       20.5666        7.6447        6.9567       10.2585      0.000000      0.000000     0.0014695      0.000617     0.0000000 
         197.       11.9000       4.43923       190.407       20.7057        7.6360        6.9480       10.1767      0.000000      0.000000     0.0011736      0.000476     0.0000000 
         200.       12.1000       4.43800       190.500       20.8416        7.6277        6.9399       10.1767      0.000000      0.000000     0.0009294      0.000363     0.0000000 
         203.       12.3000       4.43676       190.591       20.9745        7.6199        6.9325       10.1767      0.000000      0.000000     0.0007368      0.000279     0.0000000 
         207.       12.5000       4.43556       190.680       21.1044        7.6126        6.9257       10.1767      0.000000      0.000000     0.0005795      0.000212     0.0000000 
         210.       12.7000       4.43441       190.768       21.2320        7.6055        6.9193       10.1767      0.000000      0.000000     0.0004519      0.000160     0.0000000 
         213.       12.9000       4.43336       190.855       21.3566        7.5988        6.9133       10.1767      0.000000      0.000000     0.0003532      0.000121     0.0000000 
         217.       13.1000       4.43239       190.940       21.4792        7.5924        6.9077       10.1767      0.000000      0.000000     0.0002739      0.000091     0.0000000 
         220.       13.3000       4.43152       191.025       21.5993        7.5862        6.9025       10.1767      0.000000      0.000000     0.0002105      0.000068     0.0000000 
         223.       13.5000       4.43077       191.108       21.7173        7.5803        6.8975       10.1767      0.000000      0.000000     0.0001624      0.000051     0.0000000 
         227.       13.7000       4.43014       191.190       21.8331        7.5747        6.8929       10.1767      0.000000      0.000000     0.0001242      0.000038     0.0000000 
         230.       13.9000       4.42962       191.271       21.9470        7.5692        6.8884       10.1767      0.000000      0.000000     0.0000942      0.000028     0.0000000 
         233.       14.1000       4.42924       191.352       22.0588        7.5639        6.8842       10.1767      0.000000      0.000000     0.0000717      0.000020     0.0000000 
         237.       14.3000       4.42897       191.431       22.1687        7.5589        6.8802       10.1767      0.000000      0.000000     0.0000541      0.000015     0.0000000 
         240.       14.5000       4.42883       191.509       22.2768        7.5540        6.8763       10.1767      0.000000      0.000000     0.0000405      0.000011     0.0000000 
         243.       14.7000       4.42881       191.586       22.3831        7.5493        6.8727       10.1767      0.000000      0.000000     0.0000305      0.000008     0.0000000 
         247.       14.9000       4.42890       191.663       22.4876        7.5447        6.8692       10.1767      0.000000      0.000000     0.0000227      0.000006     0.0000000 
         250.       15.1000       4.42910       191.738       22.5905        7.5403        6.8659       10.1767      0.000000      0.000000     0.0000168      0.000004     0.0000000 
         253.       15.3000       4.42942       191.813       22.6917        7.5361        6.8628       10.0955      0.000000      0.000000     0.0000125      0.000003     0.0000000 
         257.       15.5000       4.42984       191.886       22.7912        7.5320        6.8598       10.0955      0.000000      0.000000     0.0000092      0.000002     0.0000000 
         260.       15.7000       4.43037       191.959       22.8892        7.5280        6.8569       10.0955      0.000000      0.000000     0.0000067      0.000002     0.0000000 
         263.       15.9000       4.43100       192.031       22.9857        7.5242        6.8541       10.0955      0.000000      0.000000     0.0000049      0.000001     0.0000000 
         267.       16.1000       4.43172       192.103       23.0806        7.5205        6.8515       10.0955      0.000000      0.000000     0.0000036      0.000001     0.0000000 
