%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
           0.        0.1000       0.94069       180.865        0.3211        9.9352        9.9352        9.9352      0.000000      0.000000     0.0224939      1.000000     0.0000000 
           3.        0.3000       0.45001       180.576        0.7116        9.9352        9.9352        9.9352      0.000000      0.000000     0.0223446      1.000000     0.0000000 
           7.        0.5000       0.73728       180.374        0.8261        9.9352        9.9352        9.9352      0.000000      0.000000     0.0257812      1.000000     0.0000000 
          10.        0.7000       1.02202       180.216        0.8925        9.9352        9.9352        9.9352      0.000000      0.000000     0.0296451      1.000000     0.0000000 
          13.        0.9000       1.31808       180.091        0.9752        9.9352        9.9352        9.9352      0.000000      0.000000     0.0339230      1.000000     0.0000000 
          17.        1.1000       1.60935       179.998        1.0271        9.9352        9.9352        9.9352      0.000000      0.000000     0.0385567      1.000000     0.0000000 
          20.        1.3000       1.86115       179.948        1.0645        9.9352        9.9352        9.9352      0.000000      0.000000     0.0435792      1.000000     0.0000000 
          23.        1.5000       1.97662       179.946        1.0987        9.9352        9.9352        9.9352      0.000000      0.000000     0.0491545      1.000000     0.0000000 
          27.        1.7000       2.09588       179.943        1.1285        9.9352        9.9352        9.9352      0.000000      0.000000     0.0552646      1.000000     0.0000000 
          30.        1.9000       2.21889       179.941        1.1561        9.9352        9.9352        9.9352      0.000000      0.000000     0.0619426      1.000000     0.0000000 
          33.        2.1000       2.34790       179.939        1.1803        9.9352        9.9352        9.9352      0.000000      0.000000     0.0693545      1.000000     0.0000000 
          37.        2.3000       2.48071       179.937        1.2027        9.9352        9.9352        9.9352      0.000000      0.000000     0.0774228      1.000000     0.0000000 
          40.        2.5000       2.61721       179.936        1.2232        9.9352        9.9352        9.9352      0.000000      0.000000     0.0861774      1.000000     0.0000000 
          43.        2.7000       2.75836       179.938        1.2423        9.9352        9.9352        9.9352      0.000000      0.000000     0.0944503      0.959170     0.0000000 
          47.        2.9000       2.89469       179.946        1.2586        9.9352        9.9352        9.9352      0.000000      0.000000     0.0953046      0.873061     0.0000000 
          50.        3.1000       3.02306       179.956        1.2722        9.9352        9.9352        9.9352      0.000000      0.000000     0.0989350      0.792467     0.0000000 
          53.        3.3000       3.14696       179.964        1.2866        9.9352        9.9352        9.9352      0.000000      0.000000     0.1022105      0.721960     0.0000000 
          57.        3.5000       3.26653       179.972        1.2991        9.9352        9.9352        9.9352      0.000000      0.000000     0.1051829      0.658537     0.0000000 
          60.        3.7000       3.38197       179.978        1.3110        9.9352        9.9352        9.9352      0.000000      0.000000     0.1078081      0.601257     0.0000000 
          63.        3.9000       3.49330       179.983        1.3229        9.9352        9.9352        9.9352      0.000000      0.000000     0.1099305      0.550213     0.0000000 
          67.        4.1000       3.60055       179.987        1.3341        9.9352        9.9352        9.9352      0.000000      0.000000     0.1115810      0.503558     0.0000000 
          70.        4.3000       3.70371       179.990        1.3449        9.9352        9.9352        9.9352      0.000000      0.000000     0.1127369      0.460725     0.0000000 
          73.        4.5000       3.80242       179.993        1.3556        9.9352        9.9352        9.9352      0.000000      0.000000     0.1132744      0.421838     0.0000000 
