%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
           0.        0.1000      12.50965       181.158        2.8598        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
           3.        0.3000       9.61500       181.250        3.0635        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
           7.        0.5000       8.43981       181.645        3.8583        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          10.        0.7000       7.74701       181.964        4.4998        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          13.        0.9000       7.30150       182.225        5.0362        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          17.        1.1000       6.95968       182.462        5.5196        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          20.        1.3000       6.68661       182.681        5.9642        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          23.        1.5000       6.47036       182.879        6.3688        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          27.        1.7000       6.28634       183.067        6.7496        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          30.        1.9000       6.12739       183.245        7.1096        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          33.        2.1000       5.99215       183.413        7.4488        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          37.        2.3000       5.87197       183.574        7.7721        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          40.        2.5000       5.76431       183.729        8.0835        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          43.        2.7000       5.66932       183.877        8.3791        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          47.        2.9000       5.58286       184.020        8.6652        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          50.        3.1000       5.50378       184.160        8.9422        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          53.        3.3000       5.43246       184.293        9.2075        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          57.        3.5000       5.36656       184.425        9.4666        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          60.        3.7000       5.30547       184.553        9.7177        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          63.        3.9000       5.24956       184.676        9.9608        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          67.        4.1000       5.19737       184.797       10.1985        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          70.        4.3000       5.14854       184.916       10.4300        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          73.        4.5000       5.10339       185.032       10.6548        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          77.        4.7000       5.06094       185.145       10.8755        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          80.        4.9000       5.02094       185.257       11.0911        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          83.        5.1000       4.98368       185.366       11.3006        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
          87.        5.3000       4.94845       185.473       11.5072        9.9352        9.9352        9.9352      0.000000      0.000000     0.0000000      1.000000     0.0000000 
