%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb       
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]      
%
         167.        1.6546       5.95245       183.577        8.1406        8.3955        7.8200       10.4241      0.000000      0.000000     0.0000000      1.000000 
         170.        1.7064       5.91260       183.636        8.2676        8.3894        7.8108       10.4241      0.000000      0.000000     0.0000000      1.000000 
         173.        1.7603       5.87321       183.696        8.3963        8.3831        7.8013       10.4241      0.000000      0.000000     0.0000000      1.000000 
         177.        1.8157       5.83420       183.757        8.5276        8.3767        7.7916       10.4241      0.000000      0.000000     0.0000000      1.000000 
         180.        1.8729       5.79558       183.819        8.6612        8.3700        7.7816       10.4241      0.000000      0.000000     0.0000000      1.000000 
         183.        1.9322       5.75744       183.882        8.7974        8.3632        7.7714       10.4241      0.000000      0.000000     0.0000000      1.000000 
         187.        1.9933       5.71970       183.947        8.9353        8.3561        7.7610       10.4241      0.000000      0.000000     0.0000000      1.000000 
         190.        2.0563       5.68235       184.013        9.0762        8.3488        7.7503       10.4241      0.000000      0.000000     0.0000000      1.000000 
         193.        2.1216       5.64551       184.080        9.2192        8.3413        7.7394       10.4241      0.000000      0.000000     0.0000000      1.000000 
         197.        2.1890       5.60907       184.149        9.3645        8.3336        7.7283       10.4241      0.000000      0.000000     0.0000000      1.000000 
         200.        2.2583       5.57305       184.218        9.5120        8.3256        7.7169       10.4241      0.000000      0.000000     0.0000000      1.000000 
         203.        2.3303       5.53755       184.290        9.6625        8.3174        7.7052       10.4241      0.000000      0.000000     0.0000000      1.000000 
         207.        2.4045       5.50248       184.362        9.8150        8.3090        7.6933       10.4241      0.000000      0.000000     0.0000000      1.000000 
         210.        2.4808       5.46783       184.436        9.9702        8.3003        7.6812       10.4241      0.000000      0.000000     0.0000000      1.000000 
         213.        2.5601       5.43373       184.511       10.1277        8.2914        7.6688       10.4241      0.000000      0.000000     0.0000000      1.000000 
         217.        2.6417       5.40006       184.588       10.2878        8.2823        7.6562       10.4241      0.000000      0.000000     0.0000000      1.000000 
         220.        2.7258       5.36684       184.666       10.4503        8.2729        7.6433       10.4241      0.000000      0.000000     0.0000000      1.000000 
         223.        2.8129       5.33418       184.746       10.6157        8.2633        7.6302       10.4241      0.000000      0.000000     0.0000000      1.000000 
         227.        2.9027       5.30197       184.827       10.7834        8.2534        7.6169       10.4241      0.000000      0.000000     0.0000000      1.000000 
         230.        2.9952       5.27022       184.910       10.9535        8.2433        7.6033       10.4241      0.000000      0.000000     0.0000000      1.000000 
         233.        3.0911       5.23905       184.995       11.1267        8.2329        7.5895       10.4241      0.000000      0.000000     0.0000000      1.000000 
         237.        3.1899       5.20835       185.081       11.3019        8.2223        7.5755       10.4241      0.000000      0.000000     0.0000000      1.000000 
         240.        3.2916       5.17812       185.168       11.4798        8.2114        7.5613       10.4241      0.000000      0.000000     0.0000000      1.000000 
         243.        3.3971       5.14849       185.257       11.6605        8.2003        7.5469       10.4241      0.000000      0.000000     0.0000000      1.000000 
         247.        3.5057       5.11935       185.348       11.8437        8.1889        7.5322       10.4241      0.000000      0.000000     0.0000000      1.000000 
         250.        3.6175       5.09070       185.441       12.0292        8.1773        7.5174       10.4241      0.000000      0.000000     0.0000000      1.000000 
         253.        3.7333       5.06266       185.535       12.2176        8.1654        7.5024       10.4241      0.000000      0.000000     0.0000000      1.000000 
         257.        3.8526       5.03513       185.632       12.4084        8.1533        7.4872       10.4241      0.000000      0.000000     0.0000000      1.000000 
