%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
           2.        0.1450       0.08826       190.882        2.9377        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000761      0.068176     0.0000215 
           2.        0.1460       0.08852       190.919        2.9423        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000752      0.066412     0.0000215 
           2.        0.1470       0.08878       190.956        2.9469        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000742      0.064672     0.0000215 
           2.        0.1480       0.08903       190.992        2.9515        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000733      0.062957     0.0000214 
           2.        0.1490       0.08927       191.029        2.9561        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000723      0.061272     0.0000214 
           2.        0.1500       0.08951       191.065        2.9604        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000713      0.059611     0.0000214 
           3.        0.1510       0.08974       191.101        2.9646        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000702      0.057976     0.0000213 
           3.        0.1520       0.08997       191.137        2.9691        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000692      0.056370     0.0000213 
           3.        0.1530       0.09019       191.173        2.9736        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000681      0.054791     0.0000212 
           3.        0.1540       0.09041       191.209        2.9778        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000671      0.053236     0.0000212 
           3.        0.1550       0.09062       191.245        2.9823        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000660      0.051712     0.0000211 
           3.        0.1560       0.09083       191.281        2.9867        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000649      0.050214     0.0000211 
           3.        0.1570       0.09103       191.316        2.9910        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000638      0.048741     0.0000210 
           3.        0.1580       0.09123       191.352        2.9955        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000627      0.047299     0.0000210 
           3.        0.1590       0.09142       191.387        2.9996        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000616      0.045883     0.0000209 
           3.        0.1600       0.09160       191.422        3.0040        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000605      0.044492     0.0000209 
           3.        0.1610       0.09178       191.457        3.0082        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000594      0.043133     0.0000208 
           3.        0.1620       0.09196       191.492        3.0123        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000583      0.041799     0.0000208 
           3.        0.1630       0.09213       191.527        3.0165        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000572      0.040491     0.0000207 
           3.        0.1640       0.09229       191.562        3.0204        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000560      0.039213     0.0000206 
           3.        0.1650       0.09245       191.596        3.0247        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000549      0.037961     0.0000206 
           3.        0.1660       0.09261       191.631        3.0292        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000538      0.036735     0.0000205 
           3.        0.1670       0.09276       191.665        3.0332        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000527      0.035539     0.0000205 
           3.        0.1680       0.09290       191.700        3.0372        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000515      0.034368     0.0000204 
           3.        0.1690       0.09304       191.734        3.0415        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000504      0.033223     0.0000203 
           4.        0.1700       0.09318       191.768        3.0453        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000493      0.032108     0.0000203 
           4.        0.1710       0.09331       191.802        3.0495        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000482      0.031017     0.0000202 
           4.        0.1720       0.09344       191.836        3.0536        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000471      0.029951     0.0000201 
           4.        0.1730       0.09356       191.870        3.0575        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000460      0.028915     0.0000200 
           4.        0.1740       0.09368       191.904        3.0617        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000449      0.027903     0.0000200 
           4.        0.1750       0.09379       191.937        3.0654        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000438      0.026915     0.0000199 
           4.        0.1760       0.09390       191.971        3.0695        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000427      0.025956     0.0000198 
           4.        0.1770       0.09400       192.004        3.0736        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000417      0.025020     0.0000197 
           4.        0.1780       0.09411       192.037        3.0773        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000406      0.024108     0.0000197 
           4.        0.1790       0.09420       192.071        3.0812        2.5067        2.5067        2.5067      0.000000      0.000000     0.0000395      0.023223     0.0000196 
