%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
           0.        0.1000       1.36399       182.330        1.3693        9.9352        9.9352        9.9352      0.000000      0.000000     0.0235775      1.000000     0.0000000 
           3.        0.3000       0.45001       182.602        1.5293        9.9352        9.9352        9.9352      0.000000      0.000000     0.0231793      1.000000     0.0000000 
           7.        0.5000       0.73728       183.142        1.6814        9.9352        9.9352        9.9352      0.000000      0.000000     0.0259037      1.000000     0.0000000 
          10.        0.7000       1.02202       183.600        1.7977        9.9352        9.9352        9.9352      0.000000      0.000000     0.0292980      1.000000     0.0000000 
          13.        0.9000       1.31808       184.068        1.9108        9.9352        9.9352        9.9352      0.000000      0.000000     0.0332798      1.000000     0.0000000 
          17.        1.1000       1.60935       184.448        1.9673        9.9352        9.9352        9.9352      0.000000      0.000000     0.0377201      1.000000     0.0000000 
          20.        1.3000       1.84077       184.806        2.0336        9.9352        9.9352        9.9352      0.000000      0.000000     0.0426301      1.000000     0.0000000 
          23.        1.5000       1.95615       185.154        2.0973        9.9352        9.9352        9.9352      0.000000      0.000000     0.0481415      1.000000     0.0000000 
          27.        1.7000       2.07543       185.467        2.1395        9.9352        9.9352        9.9352      0.000000      0.000000     0.0541916      1.000000     0.0000000 
          30.        1.9000       2.19860       185.750        2.1649        9.9352        9.9352        9.9352      0.000000      0.000000     0.0608149      1.000000     0.0000000 
          33.        2.1000       2.32791       186.041        2.2135        9.9352        9.9352        9.9352      0.000000      0.000000     0.0681785      1.000000     0.0000000 
          37.        2.3000       2.46099       186.312        2.2533        9.9352        9.9352        9.9352      0.000000      0.000000     0.0761968      1.000000     0.0000000 
          40.        2.5000       2.59730       186.563        2.2831        9.9352        9.9352        9.9352      0.000000      0.000000     0.0848713      1.000000     0.0000000 
          43.        2.7000       2.73514       186.792        2.3072        9.9352        9.9352        9.9352      0.000000      0.000000     0.0890429      0.927149     0.0000000 
          47.        2.9000       2.86749       186.991        2.3232        9.9352        9.9352        9.9352      0.000000      0.000000     0.0924393      0.839851     0.0000000 
          50.        3.1000       2.99452       187.175        2.3340        9.9352        9.9352        9.9352      0.000000      0.000000     0.0959539      0.761691     0.0000000 
          53.        3.3000       3.11735       187.368        2.3597        9.9352        9.9352        9.9352      0.000000      0.000000     0.0991719      0.693549     0.0000000 
          57.        3.5000       3.23594       187.553        2.3822        9.9352        9.9352        9.9352      0.000000      0.000000     0.1019514      0.632331     0.0000000 
          60.        3.7000       3.35035       187.731        2.4009        9.9352        9.9352        9.9352      0.000000      0.000000     0.1042736      0.576970     0.0000000 
          63.        3.9000       3.46041       187.906        2.4190        9.9352        9.9352        9.9352      0.000000      0.000000     0.1060243      0.527478     0.0000000 
          67.        4.1000       3.56617       188.074        2.4334        9.9352        9.9352        9.9352      0.000000      0.000000     0.1072828      0.482117     0.0000000 
          70.        4.3000       3.66762       188.235        2.4447        9.9352        9.9352        9.9352      0.000000      0.000000     0.1080388      0.440373     0.0000000 
          73.        4.5000       3.76437       188.394        2.4552        9.9352        9.9352        9.9352      0.000000      0.000000     0.1081834      0.402397     0.0000000 
          77.        4.7000       3.85667       188.546        2.4627        9.9352        9.9352        9.9352      0.000000      0.000000     0.1078164      0.367177     0.0000000 
          80.        4.9000       3.94451       188.693        2.4675        9.9352        9.9352        9.9352      0.000000      0.000000     0.1069407      0.334447     0.0000000 
          83.        5.1000       4.02733       188.847        2.4827        9.9352        9.9352        9.9352      0.000000      0.000000     0.1054676      0.304406     0.0000000 
          87.        5.3000       4.10559       188.997        2.4970        9.9352        9.9352        9.9352      0.000000      0.000000     0.1035127      0.276402     0.0000000 
          90.        5.5000       4.17932       189.144        2.5092        9.9352        9.9352        9.9352      0.000000      0.000000     0.1010957      0.250289     0.0000000 
          93.        5.7000       4.24781       189.288        2.5218        9.9352        9.9352        9.9352      0.000000      0.000000     0.0981591      0.226279     0.0000000 
          97.        5.9000       4.31175       189.429        2.5318        9.9352        9.9352        9.9352      0.000000      0.000000     0.0948246      0.203904     0.0000000 
